names,pvals_adj,logfoldchanges,scores,pts,pts_rest,cluster_name
AAEL024235,0.0003220053202957035,2.512974,4.6852155,0.27074235807860264,0.10725643249494074,VM
AAEL001484,0.0004273405200657465,2.658855,4.6233325,0.27510917030567683,0.11853136744723909,VM
AAEL013661,0.0008101322474330088,1.1489646,4.470236,0.42358078602620086,0.3089043076033536,VM
AAEL002879,0.0030089740772084625,1.3566526,4.147734,0.34497816593886466,0.2139346631974559,VM
AAEL001411,0.007133378629460858,1.4807512,3.9227931,0.31004366812227074,0.1821335646140503,VM
AAEL023003,0.008231392847444022,1.9262921,3.8822484,0.27074235807860264,0.14469499855449552,VM
AAEL009422,0.008450714855745108,1.445414,3.874875,0.35807860262008734,0.2616363110725643,VM
AAEL007883,0.11021730336978383,1.244123,3.0872402,0.314410480349345,0.2328707718993929,VM
AAEL013139,0.11626639979353483,1.1611732,3.0680504,0.3537117903930131,0.29199190517490603,VM
AAEL020092,0.17519411596371667,1.0839759,2.9158328,0.3537117903930131,0.28013876843018215,VM
AAEL002851,0.18137751812415398,1.2662275,2.8965125,0.34497816593886466,0.29155825383058687,VM
AAEL010777,0.22279058263860244,1.1952157,2.8128514,0.3318777292576419,0.2769586585718416,VM
AAEL003103,0.27921812047959416,1.2412459,2.7039456,0.31004366812227074,0.2510841283607979,VM
AAEL008738,0.31950266098000596,1.3563094,2.6432343,0.28820960698689957,0.2181266261925412,VM
AAEL017481,0.5860738887871333,1.028736,2.3573217,0.314410480349345,0.26712922810060713,VM
AAEL007765,0.5950752888418157,1.4567528,2.3480768,0.25327510917030566,0.19181844463717837,VM
AAEL006833,0.8312023553496863,1.2969669,2.1733,0.26200873362445415,0.21089910378722174,VM
